wojewodztwo;powiat;miasto;kod_pocztowy;ulica;typ_ulica
warmiñsko-mazurskie;M. Olsztyn;Olsztyn;10-693;Ksiêdza Popie³uszki Jerzego;ul.
lubelskie;M. Lublin;Lublin;20-052;Ksiêdza Popie³uszki Jerzego;ul.
ma³opolskie;M. Kraków;Kraków;30-898;Ksiêdza Popie³uszki Jerzego;ul.
podkarpackie;M. Rzeszów;Rzeszów;35-328;Ksiêdza Popie³uszki Jerzego;ul.
œl¹skie;M. Katowice;Katowice;40-325;Ksiêdza Popie³uszki Jerzego;ul.
œl¹skie;M. Bytom;Bytom;41-906;Ksiêdza Popie³uszki Jerzego;ul.
œl¹skie;M. Jastrzêbie-Zdrój;Jastrzêbie-Zdrój;44-335;Ksiêdza Popie³uszki Jerzego;ul.
opolskie;M. Opole;Opole;45-601;Ksiêdza Popie³uszki Jerzego;ul.
opolskie;brzeski;Brzeg;49-300;Ksiêdza Popie³uszki Jerzego;ul.
zachodniopomorskie;M. Koszalin;Koszalin;75-410;Ksiêdza Popie³uszki Jerzego;ul.
kujawsko-pomorskie;M. Bydgoszcz;Bydgoszcz;85-863;Ksiêdza Popie³uszki Jerzego;ul.
mazowieckie;M. Warszawa;Warszawa;01-786;Ksiêdza Popie³uszki Jerzego ;ul.
mazowieckie;M. Warszawa;Warszawa;01-501;Ksiêdza Popie³uszki Jerzego ;ul.
podlaskie;M. Bia³ystok;Bia³ystok;15-729;Ksiêdza Popie³uszki Jerzego ;ul.
mazowieckie;M. Warszawa;Warszawa;01-595;Ksiêdza Popie³uszki Jerzego ;ul.
mazowieckie;M. Warszawa;Warszawa;01-590;Ksiêdza Popie³uszki Jerzego ;ul.
podlaskie;M. Bia³ystok;Bia³ystok;15-657;Ksiêdza Popie³uszki Jerzego ;ul.
wielkopolskie;M. Poznañ;Poznañ;61-108;Ksiêdza Posadzego Ignacego;ul.
œl¹skie;M. Ruda Œl¹ska;Ruda Œl¹ska;41-717;Ksiêdza Potyki Augustyna;ul.
œl¹skie;raciborski;Racibórz;47-404;Ksiêdza Pra³ata Gadego Bernarda;ul.
pomorskie;M. Gdañsk;Gdañsk;80-543;Ksiêdza Pra³ata Gustkowicza Jana;Plac
ma³opolskie;M. Kraków;Kraków;30-864;Ksiêdza Pra³ata £aczka Mariana;ul.
lubelskie;M. Lublin;Lublin;20-043;Ksiêdza Profesora Józefa Tischnera;ul.
mazowieckie;M. Warszawa;Warszawa;02-972;Ksiêdza Prymasa Hlonda Augusta;ul.
œl¹skie;M. Bytom;Bytom;41-933;Ksiêdza Prymasa Hlonda Augusta;ul.
ma³opolskie;M. Kraków;Kraków;30-688;Ksiêdza Prymasa Wyszyñskiego Stefana;ul.
œl¹skie;M. Bytom;Bytom;41-935;Ksiêdza Prymasa Wyszyñskiego Stefana;ul.
œl¹skie;M. Œwiêtoch³owice;Œwiêtoch³owice;41-600;Ksiêdza Raabe;Plac
œl¹skie;tarnogórski;Tarnowskie Góry;42-603;Ksiêdza Renka Henryka;ul.
zachodniopomorskie;M. Szczecin;Szczecin;71-215;Ksiêdza Robaka;ul.
pomorskie;M. Gdañsk;Gdañsk;80-119;Ksiêdza Robaka;ul.
pomorskie;M. Gdañsk;Gdañsk;80-804;Ksiêdza Rogaczewskiego Franciszka;ul.
opolskie;M. Opole;Opole;45-631;Ksiêdza Rudzkiego Franciszka;ul.
œl¹skie;M. Chorzów;Chorzów;41-516;Ksiêdza Ryszki Józefa;ul.
œl¹skie;M. Bytom;Bytom;41-910;Ksiêdza Schenka Wac³awa;ul.
kujawsko-pomorskie;M. Bydgoszcz;Bydgoszcz;85-315;Ksiêdza Schulza Józefa;ul.
ma³opolskie;M. Kraków;Kraków;31-201;Ksiêdza Siemaszki Kazimierza ;ul.
ma³opolskie;M. Kraków;Kraków;31-207;Ksiêdza Siemaszki Kazimierza ;ul.
kujawsko-pomorskie;M. Bydgoszcz;Bydgoszcz;85-092;Ksiêdza Sieñki Ludwika;ul.
mazowieckie;M. Warszawa;Warszawa;01-410;Ksiêdza Sitnika Jana;ul.
œl¹skie;M. Katowice;Katowice;40-306;Ksiêdza Siwka Wiktora;ul.
podlaskie;M. Bia³ystok;Bia³ystok;15-198;Ksiêdza Skargi Piotra;ul.
ma³opolskie;M. Kraków;Kraków;30-298;Ksiêdza Skargi Piotra;ul.
œl¹skie;M. Katowice;Katowice;40-091;Ksiêdza Skargi Piotra;ul.
œl¹skie;M. Chorzów;Chorzów;41-500;Ksiêdza Skargi Piotra;ul.
œl¹skie;M. Ruda Œl¹ska;Ruda Œl¹ska;41-706;Ksiêdza Skargi Piotra;ul.
œl¹skie;raciborski;Racibórz;47-403;Ksiêdza Skargi Piotra;ul.
dolnoœl¹skie;M. Wroc³aw;Wroc³aw;50-082;Ksiêdza Skargi Piotra;ul.
mazowieckie;M. Warszawa;Warszawa;00-546;Ksiêdza Skorupki Ignacego;ul.
kujawsko-pomorskie;M. Bydgoszcz;Bydgoszcz;85-156;Ksiêdza Skorupki Ignacego;ul.
³ódzkie;M. £ódŸ;£ódŸ;90-458;Ksiêdza Skorupki Ignacego ;ul.
³ódzkie;M. £ódŸ;£ódŸ;90-532;Ksiêdza Skorupki Ignacego ;ul.
œwiêtokrzyskie;M. Kielce;Kielce;25-369;Ksiêdza Skorupki Ignacego Jana;ul.
ma³opolskie;M. Kraków;Kraków;31-519;Ksiêdza Skorupki Jana Ignacego;ul.
œl¹skie;M. Katowice;Katowice;40-019;Ksiêdza Skowroñskiego Aleksandra;ul.
mazowieckie;M. Warszawa;Warszawa;04-483;Ksiêdza Skrzeszewskiego Stanis³awa;ul.
lubelskie;M. Lublin;Lublin;20-124;Ksiêdza S³owikowskiego Micha³a;ul.
podlaskie;M. Bia³ystok;Bia³ystok;15-114;Ksiêdza Sopoæki Micha³a;Plac
œl¹skie;M. Chorzów;Chorzów;41-500;Ksiêdza Stabika Antoniego;ul.
opolskie;M. Opole;Opole;45-052;Ksiêdza Staszica Stanis³awa;Plac
lubelskie;M. Lublin;Lublin;20-081;Ksiêdza Staszica Stanis³awa;ul.
œl¹skie;M. Chorzów;Chorzów;41-506;Ksiêdza Staszica Stanis³awa;ul.
œl¹skie;raciborski;Racibórz;47-400;Ksiêdza Staszica Stanis³awa;ul.
zachodniopomorskie;M. Szczecin;Szczecin;71-515;Ksiêdza Staszica Stanis³awa;ul.
podkarpackie;M. Rzeszów;Rzeszów;35-322;Ksiêdza St¹czka Jana;ul.
podkarpackie;M. Rzeszów;Rzeszów;35-120;Ksiêdza Stoja³owskiego Stanis³awa;ul.
zachodniopomorskie;M. Szczecin;Szczecin;71-306;Ksiêdza Stoja³owskiego Stanis³awa;ul.
ma³opolskie;M. Kraków;Kraków;30-715;Ksiêdza Stoszki Ignacego;ul.
kujawsko-pomorskie;M. Bydgoszcz;Bydgoszcz;85-402;Ksiêdza Streicha Stanis³awa;ul.
œl¹skie;M. Chorzów;Chorzów;41-506;Ksiêdza Strzybnego Augustyna;ul.
podlaskie;M. Bia³ystok;Bia³ystok;15-565;Ksiêdza Suchowolca Stanis³awa ;ul.
podlaskie;M. Bia³ystok;Bia³ystok;15-567;Ksiêdza Suchowolca Stanis³awa ;ul.
podkarpackie;M. Rzeszów;Rzeszów;35-330;Ksiêdza Sulikowskiego Daniela;ul.
kujawsko-pomorskie;M. Bydgoszcz;Bydgoszcz;85-424;Ksiêdza Sychty Bernarda;ul.
pomorskie;M. Gdañsk;Gdañsk;80-272;Ksiêdza Sychty Bernarda ;ul.
pomorskie;M. Gdañsk;Gdañsk;80-276;Ksiêdza Sychty Bernarda ;ul.
podlaskie;M. Bia³ystok;Bia³ystok;15-139;Ksiêdza Syczewskiego Aleksandra;ul.
opolskie;M. Opole;Opole;45-118;Ksiêdza Szafranka Józefa;Plac
œl¹skie;M. Mys³owice;Mys³owice;41-409;Ksiêdza Szafranka Józefa;ul.
œl¹skie;M. Bytom;Bytom;41-902;Ksiêdza Szafranka Józefa;ul.
œl¹skie;miko³owski;Miko³ów;43-190;Ksiêdza Szafranka Józefa;ul.
œl¹skie;M. Katowice;Katowice;40-014;Ksiêdza Szramka Emila;Plac
œl¹skie;M. Katowice;Katowice;40-750;Ksiêdza Szramka Emila;ul.
dolnoœl¹skie;M. Wroc³aw;Wroc³aw;51-607;Ksiêdza Szramki Emila;ul.
mazowieckie;M. Warszawa;Warszawa;04-320;Ksiêdza Sztuki Jana;ul.
mazowieckie;M. Warszawa;Warszawa;04-965;Ksiêdza Szulczyka Sylwestra;ul.
kujawsko-pomorskie;M. Bydgoszcz;Bydgoszcz;85-796;Ksiêdza Szumana Henryka;ul.
œl¹skie;M. Katowice;Katowice;40-668;Ksiêdza Szurleja Jana;ul.
kujawsko-pomorskie;M. Bydgoszcz;Bydgoszcz;85-790;Ksiêdza Szydzika Józefa;ul.
œl¹skie;M. Ruda Œl¹ska;Ruda Œl¹ska;41-709;Ksiêdza Szyma³y Jana;ul.
œl¹skie;miko³owski;Miko³ów;43-190;Ksiêdza Szymankiewicza Huberta;ul.
mazowieckie;M. Warszawa;Warszawa;01-534;Ksiêdza Œciegiennego Piotra;ul.
podlaskie;M. Bia³ystok;Bia³ystok;15-199;Ksiêdza Œciegiennego Piotra;ul.
lubelskie;M. Lublin;Lublin;20-434;Ksiêdza Œciegiennego Piotra;ul.
œl¹skie;M. Ruda Œl¹ska;Ruda Œl¹ska;41-710;Ksiêdza Œciegiennego Piotra;ul.
œl¹skie;M. Bytom;Bytom;41-909;Ksiêdza Œciegiennego Piotra;ul.
opolskie;M. Opole;Opole;45-709;Ksiêdza Œciegiennego Piotra;ul.
opolskie;kêdzierzyñsko-kozielski;Kêdzierzyn-KoŸle;47-230;Ksiêdza Œciegiennego Piotra;ul.
dolnoœl¹skie;M. Wroc³aw;Wroc³aw;51-683;Ksiêdza Œciegiennego Piotra;ul.
pomorskie;M. Gdynia;Gdynia;81-257;Ksiêdza Œciegiennego Piotra;ul.
kujawsko-pomorskie;M. Bydgoszcz;Bydgoszcz;85-621;Ksiêdza Œciegiennego Piotra;ul.
³ódzkie;M. £ódŸ;£ódŸ;91-725;Ksiêdza Œciegiennego Piotra;ul.
zachodniopomorskie;M. Szczecin;Szczecin;70-352;Ksiêdza Œciegiennego Piotra ;ul.
zachodniopomorskie;M. Szczecin;Szczecin;70-353;Ksiêdza Œciegiennego Piotra ;ul.
œwiêtokrzyskie;M. Kielce;Kielce;25-033;Ksiêdza Œciegiennego Piotra ;ul.
œwiêtokrzyskie;M. Kielce;Kielce;25-380;Ksiêdza Œciegiennego Piotra ;ul.
œl¹skie;M. Katowice;Katowice;40-114;Ksiêdza Œciegiennego Piotra ;ul.
ma³opolskie;M. Kraków;Kraków;30-830;Ksiêdza Œciegiennego Piotra ;ul.
zachodniopomorskie;M. Szczecin;Szczecin;70-354;Ksiêdza Œciegiennego Piotra ;ul.
œwiêtokrzyskie;M. Kielce;Kielce;25-114;Ksiêdza Œciegiennego Piotra ;ul.
œl¹skie;M. Katowice;Katowice;40-113;Ksiêdza Œciegiennego Piotra ;ul.
œwiêtokrzyskie;M. Kielce;Kielce;25-115;Ksiêdza Œciegiennego Piotra ;ul.
ma³opolskie;M. Kraków;Kraków;30-809;Ksiêdza Œciegiennego Piotra ;ul.
œl¹skie;M. Katowice;Katowice;40-111;Ksiêdza Œciegiennego Piotra ;ul.
œwiêtokrzyskie;M. Kielce;Kielce;25-116;Ksiêdza Œciegiennego Piotra ;ul.
œl¹skie;M. Katowice;Katowice;40-208;Ksiêdza Œciga³y Franciszka;ul.
ma³opolskie;M. Kraków;Kraków;30-798;Ksiêdza Targosza Karola;ul.
ma³opolskie;M. Kraków;Kraków;30-418;Ksiêdza Tischnera Józefa;ul.
pomorskie;M. Gdañsk;Gdañsk;80-283;Ksiêdza Tischnera Józefa;ul.
mazowieckie;M. Warszawa;Warszawa;01-693;Ksiêdza Trószyñskiego Zygmunta;ul.
ma³opolskie;M. Kraków;Kraków;31-352;Ksiêdza Truszkowskiego Stanis³awa;ul.
œl¹skie;M. Ruda Œl¹ska;Ruda Œl¹ska;41-707;Ksiêdza Tunkla Ludwika;ul.
ma³opolskie;M. Kraków;Kraków;30-717;Ksiêdza Turka Wincentego;ul.
lubelskie;M. Lublin;Lublin;20-439;Ksiêdza Wadowskiego Jana;ul.
œl¹skie;tarnogórski;Tarnowskie Góry;42-600;Ksiêdza Wajdy Józefa;ul.
œl¹skie;zawierciañski;Zawiercie;42-400;Ksiêdza Wajzlera Boles³awa;ul.
dolnoœl¹skie;M. Wroc³aw;Wroc³aw;53-022;Ksiêdza Wawrzyniaka Piotra;ul.
zachodniopomorskie;M. Szczecin;Szczecin;70-392;Ksiêdza Wawrzyniaka Piotra;ul.
kujawsko-pomorskie;M. Bydgoszcz;Bydgoszcz;85-661;Ksiêdza Wawrzyniaka Piotra;ul.
³ódzkie;M. £ódŸ;£ódŸ;91-605;Ksiêdza Wawrzyniaka Piotra;ul.
œl¹skie;M. Katowice;Katowice;40-675;Ksiêdza Wilczewskiego Stanis³awa;ul.
pomorskie;M. Gdynia;Gdynia;81-259;Ksiêdza W³adys³awskiego Gabriela;ul.
ma³opolskie;M. Kraków;Kraków;30-397;Ksiêdza Wujka Jakuba;ul.
wielkopolskie;M. Poznañ;Poznañ;61-581;Ksiêdza Wujka Jakuba;ul.
ma³opolskie;M. Kraków;Kraków;30-427;Ksiêdza Zagrodzkiego Adolfa;ul.
ma³opolskie;M. Kraków;Kraków;31-580;Ksiêdza Zastawniaka Józefa;ul.
pomorskie;M. Gdañsk;Gdañsk;80-831;Ksiêdza Zatora - Przytockiego Józefa;Plac
œl¹skie;M. Bytom;Bytom;41-909;Ksiêdza Zieliñskiego Feliksa;ul.
dolnoœl¹skie;M. Wroc³aw;Wroc³aw;51-180;Ksiêgarska;ul.
mazowieckie;M. Warszawa;Warszawa;01-833;Ksiêgarzy;ul.
dolnoœl¹skie;M. Wroc³aw;Wroc³aw;53-225;Ksiêgowa;ul.
dolnoœl¹skie;M. Wroc³aw;Wroc³aw;52-020;Ksiêska;ul.
ma³opolskie;M. Kraków;Kraków;30-376;Ksiê¿arskiego Feliksa;ul.
zachodniopomorskie;M. Szczecin;Szczecin;71-669;Ksiê¿nej Anastazji;ul.
zachodniopomorskie;M. Koszalin;Koszalin;75-056;Ksiê¿nej Anastazji;ul.
mazowieckie;M. Warszawa;Warszawa;03-866;Ksiê¿nej Anny;ul.
zachodniopomorskie;M. Szczecin;Szczecin;70-671;Ksiê¿nej Anny;ul.
zachodniopomorskie;M. Szczecin;Szczecin;71-826;Ksiê¿nej D¹brówki;ul.
zachodniopomorskie;M. Szczecin;Szczecin;70-529;Ksiê¿nej Dobros³awy;ul.
zachodniopomorskie;M. Szczecin;Szczecin;71-668;Ksiê¿nej El¿biety;ul.
³ódzkie;M. £ódŸ;£ódŸ;92-414;Ksiê¿nej Kingi;ul.
zachodniopomorskie;M. Szczecin;Szczecin;71-807;Ksiê¿nej Ludgardy;ul.
œl¹skie;raciborski;Racibórz;47-400;Ksiê¿nej Ofki Piastówny;Plac
zachodniopomorskie;M. Szczecin;Szczecin;70-257;Ksiê¿nej Przybys³awy;ul.
zachodniopomorskie;M. Szczecin;Szczecin;71-625;Ksiê¿nej Salomei;ul.
zachodniopomorskie;M. Szczecin;Szczecin;71-665;Ksiê¿nej Zofii;ul.
lubelskie;bi³gorajski;Ksiê¿pol;23-415;Ksiê¿pol;Poczta
³ódzkie;M. £ódŸ;£ódŸ;90-345;Ksiê¿y M³yn;ul.
ma³opolskie;M. Kraków;Kraków;31-466;Ksiê¿y Pijarów ;ul.
ma³opolskie;M. Kraków;Kraków;31-419;Ksiê¿y Pijarów ;ul.
mazowieckie;M. Warszawa;Warszawa;01-934;Ksiê¿ycowa;ul.
warmiñsko-mazurskie;M. Olsztyn;Olsztyn;10-713;Ksiê¿ycowa;ul.
podlaskie;M. Bia³ystok;Bia³ystok;15-242;Ksiê¿ycowa;ul.
lubelskie;M. Lublin;Lublin;20-060;Ksiê¿ycowa;ul.
ma³opolskie;M. Kraków;Kraków;30-439;Ksiê¿ycowa;ul.
podkarpackie;M. Rzeszów;Rzeszów;35-322;Ksiê¿ycowa;ul.
œl¹skie;M. Ruda Œl¹ska;Ruda Œl¹ska;41-707;Ksiê¿ycowa;ul.
œl¹skie;zawierciañski;Zawiercie;42-400;Ksiê¿ycowa;ul.
œl¹skie;raciborski;Racibórz;47-404;Ksiê¿ycowa;ul.
dolnoœl¹skie;M. Wroc³aw;Wroc³aw;51-216;Ksiê¿ycowa;ul.
wielkopolskie;M. Poznañ;Poznañ;60-281;Ksiê¿ycowa;ul.
zachodniopomorskie;M. Szczecin;Szczecin;71-794;Ksiê¿ycowa;ul.
zachodniopomorskie;M. Koszalin;Koszalin;75-590;Ksiê¿ycowa;ul.
pomorskie;M. Gdañsk;Gdañsk;80-680;Ksiê¿ycowa;ul.
pomorskie;M. Gdynia;Gdynia;81-577;Ksiê¿ycowa;ul.
pomorskie;M. Sopot;Sopot;81-821;Ksiê¿ycowa;ul.
kujawsko-pomorskie;M. Bydgoszcz;Bydgoszcz;85-345;Ksiê¿ycowa;ul.
³ódzkie;M. £ódŸ;£ódŸ;91-601;Ksiê¿ycowa;ul.
œl¹skie;M. Katowice;Katowice;40-750;Kœciuczyka Jana;ul.
wielkopolskie;M. Poznañ;Poznañ;61-722;Ku Cytadeli;ul.
wielkopolskie;M. Poznañ;Poznañ;61-492;Ku Dêbinie;ul.
œl¹skie;M. Bytom;Bytom;41-936;Ku Duklom;ul.
lubelskie;M. Lublin;Lublin;20-115;Ku Farze;ul.
kujawsko-pomorskie;M. Bydgoszcz;Bydgoszcz;85-103;Ku M³ynom;ul.
ma³opolskie;M. Kraków;Kraków;31-762;Ku Raciborowicom;ul.
lubelskie;M. Lublin;Lublin;20-521;Ku S³oñcu;ul.
zachodniopomorskie;M. Szczecin;Szczecin;71-073;Ku S³oñcu ;ul.
zachodniopomorskie;M. Szczecin;Szczecin;71-080;Ku S³oñcu ;ul.
zachodniopomorskie;M. Szczecin;Szczecin;71-046;Ku S³oñcu ;ul.
zachodniopomorskie;M. Szczecin;Szczecin;71-047;Ku S³oñcu ;ul.
pomorskie;M. Gdañsk;Gdañsk;80-701;Ku Ujœciu ;ul.
pomorskie;M. Gdañsk;Gdañsk;80-549;Ku Ujœciu ;ul.
kujawsko-pomorskie;M. Bydgoszcz;Bydgoszcz;85-856;Ku Wiatrakom;ul.
mazowieckie;M. Warszawa;Warszawa;00-707;Ku Wiœle;ul.
pomorskie;M. Sopot;Sopot;81-763;Kubacza Franciszka;ul.
mazowieckie;M. Warszawa;Warszawa;03-949;Kubañska;ul.
podlaskie;M. Bia³ystok;Bia³ystok;15-626;Kubañska;ul.
mazowieckie;M. Warszawa;Warszawa;02-954;Kubickiego Jakuba;ul.
œl¹skie;M. Mys³owice;Mys³owice;41-409;Kubicy Walentego;ul.
œl¹skie;M. Ruda Œl¹ska;Ruda Œl¹ska;41-710;Kubiny Paw³a;ul.
œl¹skie;M. Œwiêtoch³owice;Œwiêtoch³owice;41-600;Kubiny Teodora;ul.
ma³opolskie;M. Kraków;Kraków;31-979;Kubliñskiego Marka;ul.
mazowieckie;M. Warszawa;Warszawa;00-037;Kubusia Puchatka;ul.
mazowieckie;M. Warszawa;Warszawa/Weso³a;05-075;Kubusia Puchatka;ul.
warmiñsko-mazurskie;M. Olsztyn;Olsztyn;10-696;Kubusia Puchatka;ul.
lubuskie;M. Zielona Góra;Zielona Góra;65-012;Kubusia Puchatka;ul.
zachodniopomorskie;M. Szczecin;Szczecin;71-804;Kubusia Puchatka;ul.
zachodniopomorskie;M. Koszalin;Koszalin;75-710;Kubusia Puchatka;ul.
pomorskie;M. Gdañsk;Gdañsk;80-308;Kubusia Puchatka;ul.
kujawsko-pomorskie;M. Bydgoszcz;Bydgoszcz;85-818;Kubusia Puchatka;ul.
³ódzkie;M. £ódŸ;£ódŸ;94-119;Kubusia Puchatka;ul.
lubuskie;M. Zielona Góra;Zielona Góra;65-544;Kucykowa;ul.
mazowieckie;¿uromiñski;Kuczbork-Osada;09-310;Kuczbork-Osada;Poczta
zachodniopomorskie;M. Koszalin;Koszalin;75-378;Kuczkowskiego Ignacego;ul.
opolskie;kêdzierzyñsko-kozielski;Kêdzierzyn-KoŸle;47-232;Kuczyñskiego Zygmunta;ul.
dolnoœl¹skie;k³odzki;Kudowa Zdrój;57-350;Kudowa Zdrój;Poczta
dolnoœl¹skie;k³odzki;Kudowa Zdrój;57-351;Kudowa Zdrój;Poczta
dolnoœl¹skie;k³odzki;Kudowa Zdrój;57-350;Kudowa Zdrój;Poczta
mazowieckie;M. Warszawa;Warszawa;04-948;Kudowska;ul.
dolnoœl¹skie;M. Wroc³aw;Wroc³aw;50-560;Kudowska;ul.
wielkopolskie;M. Poznañ;Poznañ;60-464;Kudowska;ul.
kujawsko-pomorskie;M. Bydgoszcz;Bydgoszcz;85-479;Kudowska;ul.
mazowieckie;M. Warszawa;Warszawa;03-554;Kuflewska;ul.
mazowieckie;M. Warszawa;Warszawa;04-471;Kuglarska;ul.
opolskie;kluczborski;Kujakowice Górne;46-211;Kujakowice Górne;Poczta
mazowieckie;M. Warszawa;Warszawa;00-793;Kujawska;ul.
warmiñsko-mazurskie;M. Olsztyn;Olsztyn;10-699;Kujawska;ul.
lubelskie;M. Lublin;Lublin;20-721;Kujawska;ul.
œwiêtokrzyskie;M. Kielce;Kielce;25-344;Kujawska;ul.
ma³opolskie;M. Kraków;Kraków;30-042;Kujawska;ul.
podkarpackie;M. Rzeszów;Rzeszów;35-323;Kujawska;ul.
œl¹skie;M. Katowice;Katowice;40-219;Kujawska;ul.
œl¹skie;tarnogórski;Tarnowskie Góry;42-600;Kujawska;ul.
œl¹skie;M. Bielsko-Bia³a;Bielsko-Bia³a;43-300;Kujawska;ul.
opolskie;M. Opole;Opole;45-311;Kujawska;ul.
wielkopolskie;M. Poznañ;Poznañ;60-618;Kujawska;ul.
zachodniopomorskie;M. Szczecin;Szczecin;70-425;Kujawska;ul.
zachodniopomorskie;M. Koszalin;Koszalin;75-395;Kujawska;ul.
pomorskie;M. Gdañsk;Gdañsk;80-550;Kujawska;ul.
pomorskie;M. Gdynia;Gdynia;81-305;Kujawska;ul.
pomorskie;M. Sopot;Sopot;81-862;Kujawska;ul.
³ódzkie;M. £ódŸ;£ódŸ;91-230;Kujawska;ul.
podlaskie;M. Bia³ystok;Bia³ystok;15-552;Kujawska ;ul.
kujawsko-pomorskie;M. Bydgoszcz;Bydgoszcz;85-031;Kujawska ;ul.
kujawsko-pomorskie;M. Bydgoszcz;Bydgoszcz;85-146;Kujawska ;ul.
kujawsko-pomorskie;M. Bydgoszcz;Bydgoszcz;85-151;Kujawska ;ul.
kujawsko-pomorskie;M. Bydgoszcz;Bydgoszcz;85-140;Kujawska ;ul.
podlaskie;M. Bia³ystok;Bia³ystok;15-548;Kujawska ;ul.
dolnoœl¹skie;M. Wroc³aw;Wroc³aw;51-203;Kujbyszewska;ul.
ma³opolskie;M. Kraków;Kraków;30-699;Kukie³ek Golkowickich;ul.
mazowieckie;M. Warszawa;Warszawa;02-207;Kukie³ki;ul.
ma³opolskie;M. Kraków;Kraków;30-720;Kukliñskiego Ryszarda;ul.
mazowieckie;M. Warszawa;Warszawa;03-002;Kukuczki Jerzego;ul.
œl¹skie;M. Ruda Œl¹ska;Ruda Œl¹ska;41-706;Kukuczki Jerzego;ul.
opolskie;M. Opole;Opole;45-684;Kukuczki Jerzego;ul.
³ódzkie;M. £ódŸ;£ódŸ;94-125;Kukuczki Jerzego;ul.
lubelskie;M. Lublin;Lublin;20-525;Kuku³cza;ul.
ma³opolskie;M. Kraków;Kraków;30-232;Kuku³cza;ul.
œl¹skie;miko³owski;Miko³ów;43-190;Kuku³cza;ul.
dolnoœl¹skie;M. Wroc³aw;Wroc³aw;51-418;Kuku³cza;ul.
wielkopolskie;M. Poznañ;Poznañ;61-373;Kuku³cza;ul.
lubuskie;M. Zielona Góra;Zielona Góra;65-472;Kuku³cza;ul.
kujawsko-pomorskie;M. Bydgoszcz;Bydgoszcz;85-431;Kuku³cza;ul.
zachodniopomorskie;M. Szczecin;Szczecin;71-698;Kuku³eczki;ul.
œl¹skie;M. Katowice;Katowice;40-533;Kuku³ek;ul.
œl¹skie;M. Siemianowice Œl¹skie;Siemianowice Œl¹skie;41-100;Kuku³ek;ul.
œl¹skie;M. Bielsko-Bia³a;Bielsko-Bia³a;43-300;Kuku³ek;ul.
mazowieckie;M. Warszawa;Warszawa;02-807;Kuku³ki;ul.
mazowieckie;M. Warszawa;Warszawa;02-752;Kukurydzy;ul.
mazowieckie;M. Warszawa;Warszawa;01-843;Kulczycka;ul.
mazowieckie;M. Warszawa;Warszawa;02-777;Kulczyñskiego Stanis³awa;ul.
podlaskie;wysokomazowiecki;Kulesze Koœcielne;18-208;Kulesze Koœcielne;Poczta
podlaskie;M. Bia³ystok;Bia³ystok;15-198;Kuleszy Ryszarda;ul.
mazowieckie;M. Warszawa;Warszawa;04-795;Kuligowska;ul.
kujawsko-pomorskie;M. Bydgoszcz;Bydgoszcz;85-790;Kuligowskiego Zygmunta;ul.
mazowieckie;wo³omiñski;Kuligów;05-254;Kuligów;Poczta
podkarpackie;M. Rzeszów;Rzeszów;35-330;Kulig-Tchórzewskiej Heleny;ul.
œl¹skie;M. Katowice;Katowice;40-434;Kulika Teodora;ul.
ma³opolskie;M. Kraków;Kraków;31-990;Kulinowskiej Zofii;ul.
mazowieckie;M. Warszawa;Warszawa;02-796;Kulisiewicza Tadeusza;ul.
kujawsko-pomorskie;M. Bydgoszcz;Bydgoszcz;85-796;Kulmatyckiego W³odzimierza;ul.
kujawsko-pomorskie;M. Bydgoszcz;Bydgoszcz;85-796;Kulpiñskiego Henryka;ul.
mazowieckie;M. Warszawa;Warszawa;02-593;Kulskiego Juliana;ul.
ma³opolskie;M. Kraków;Kraków;30-427;Ku³akowskiego Henryka;ul.
mazowieckie;M. Warszawa;Warszawa;03-988;Kumanieckiego Kazimierza;Al.
lubelskie;M. Lublin;Lublin;20-439;Kuncewiczowej Marii;ul.
œl¹skie;tarnogórski;Tarnowskie Góry;42-609;Kuncewiczowej Marii;ul.
ma³opolskie;M. Kraków;Kraków;30-440;Kuncewiczównej;ul.
dolnoœl¹skie;legnicki;Kunice;59-216;Kunice;Poczta
œl¹skie;M. Bielsko-Bia³a;Bielsko-Bia³a;43-300;Kunickiego Aleksandra;ul.
mazowieckie;M. Warszawa;Warszawa;01-492;Kunickiego Stanis³awa;ul.
ma³opolskie;M. Kraków;Kraków;30-134;Kunickiego Stanis³awa;ul.
dolnoœl¹skie;M. Wroc³aw;Wroc³aw;54-616;Kunickiego Stanis³awa;ul.
wielkopolskie;M. Poznañ;Poznañ;61-418;Kunickiego Stanis³awa;ul.
pomorskie;M. Gdañsk;Gdañsk;80-453;Kunickiego Stanis³awa;ul.
lubelskie;M. Lublin;Lublin;20-409;Kunickiego W³adys³awa ;ul.
lubelskie;M. Lublin;Lublin;20-417;Kunickiego W³adys³awa ;ul.
lubelskie;M. Lublin;Lublin;20-412;Kunickiego W³adys³awa ;ul.
lubelskie;M. Lublin;Lublin;20-422;Kunickiego W³adys³awa ;ul.
lubelskie;M. Lublin;Lublin;20-459;Kunickiego W³adys³awa ;ul.
lubelskie;M. Lublin;Lublin;20-436;Kunickiego W³adys³awa ;ul.
lubelskie;M. Lublin;Lublin;20-451;Kunickiego W³adys³awa ;ul.
lubelskie;M. Lublin;Lublin;20-444;Kunickiego W³adys³awa ;ul.
mazowieckie;M. Warszawa;Warszawa;03-522;Kuniecka;ul.
œwiêtokrzyskie;ostrowiecki;Kunów;27-415;Kunów;Poczta
